id,layer,capability,owner,status,index_or_version,implementation,evidence,disposition,blocker
BASE-BRANCH,baseline,source branch,repository,frozen,sm-update-sub-0x63,git branch,git,retain,
BASE-HEAD,baseline,source HEAD,repository,frozen,439a1b62da11175129ad5390186230a64d569810,git rev-parse HEAD,git,invalidate file/line evidence on change,
BASE-SDK,dependency,FRAME/SP/Cumulus SDK graph,workspace,present,release-v1.24.0#cc190ea83c590b6a14a6b9771ab02c81618dc118,workspace dependencies and Cargo.lock,Cargo.toml;Cargo.lock,retain single SDK graph,
ORIGIN-VERSION,runtime,Origin runtime identity,Origin,present,spec=9901;tx=2,RuntimeVersion,origin/base/runtime/src/lib.rs:151-161,retain,
ORBIS-VERSION,runtime,Orbis runtime identity,Orbis,present,spec=29;tx=8,RuntimeVersion,origin/orbis/runtime/src/lib.rs:150-160,retain,
ORBIS-PARA,topology,Orbis parachain identifier,Origin/Orbis,present,1006,ORBIS_ID and chain spec extensions,origin/runtime-constants/src/system_parachain.rs;origin/orbis/node/src/chain_spec.rs,retain,
ORBIS-AUTHORING,topology,elastic authoring constants,Orbis,present,velocity=3;relay_parent_offset=1;capacity=12;slot_ms=6000,runtime constants and APIs,origin/orbis/runtime/src/lib.rs:136-146;origin/orbis/runtime/src/tests.rs:1891-1900,retain; reproduce 1-core/3-core campaign,
ORIGIN-PAL-000,pallet,System,Origin,present,0,frame_system,origin/base/runtime/src/lib.rs:index-0,retain unless separately classified,
ORIGIN-PAL-001,pallet,Babe,Origin,present,1,pallet_babe,origin/base/runtime/src/lib.rs:index-1,retain unless separately classified,
ORIGIN-PAL-002,pallet,Timestamp,Origin,present,2,pallet_timestamp,origin/base/runtime/src/lib.rs:index-2,retain unless separately classified,
ORIGIN-PAL-003,pallet,Indices,Origin,present,3,pallet_indices,origin/base/runtime/src/lib.rs:index-3,retain unless separately classified,
ORIGIN-PAL-004,pallet,Balances,Origin,present,4,pallet_balances,origin/base/runtime/src/lib.rs:index-4,retain unless separately classified,
ORIGIN-PAL-005,pallet,AuthorityManager,Origin,present,5,pallet_authorities,origin/base/runtime/src/lib.rs:index-5,retain unless separately classified,
ORIGIN-PAL-006,pallet,Authorship,Origin,present,6,pallet_authorship,origin/base/runtime/src/lib.rs:index-6,retain unless separately classified,
ORIGIN-PAL-007,pallet,Offences,Origin,present,7,pallet_offences,origin/base/runtime/src/lib.rs:index-7,retain unless separately classified,
ORIGIN-PAL-008,pallet,Session,Origin,present,8,pallet_session,origin/base/runtime/src/lib.rs:index-8,retain unless separately classified,
ORIGIN-PAL-009,pallet,Grandpa,Origin,present,9,pallet_grandpa,origin/base/runtime/src/lib.rs:index-9,retain unless separately classified,
ORIGIN-PAL-010,pallet,AuthorityDiscovery,Origin,present,10,pallet_authority_discovery,origin/base/runtime/src/lib.rs:index-10,retain unless separately classified,
ORIGIN-PAL-026,pallet,Utility,Origin,present,26,pallet_utility,origin/base/runtime/src/lib.rs:index-26,retain unless separately classified,
ORIGIN-PAL-027,pallet,Scheduler,Origin,present,27,pallet_scheduler,origin/base/runtime/src/lib.rs:index-27,retain unless separately classified,
ORIGIN-PAL-029,pallet,Proxy,Origin,present,29,pallet_proxy,origin/base/runtime/src/lib.rs:index-29,retain unless separately classified,
ORIGIN-PAL-030,pallet,Multisig,Origin,present,30,pallet_multisig,origin/base/runtime/src/lib.rs:index-30,retain unless separately classified,
ORIGIN-PAL-032,pallet,TransactionPayment,Origin,present,32,pallet_transaction_payment,origin/base/runtime/src/lib.rs:index-32,retain unless separately classified,
ORIGIN-PAL-033,pallet,Historical,Origin,present,33,session_historical,origin/base/runtime/src/lib.rs:index-33,retain unless separately classified,
ORIGIN-PAL-050,pallet,ParachainsOrigin,Origin,present,50,parachains_origin,origin/base/runtime/src/lib.rs:index-50,retain unless separately classified,
ORIGIN-PAL-051,pallet,Configuration,Origin,present,51,parachains_configuration,origin/base/runtime/src/lib.rs:index-51,retain unless separately classified,
ORIGIN-PAL-052,pallet,ParasShared,Origin,present,52,parachains_shared,origin/base/runtime/src/lib.rs:index-52,retain unless separately classified,
ORIGIN-PAL-053,pallet,ParaInclusion,Origin,present,53,parachains_inclusion,origin/base/runtime/src/lib.rs:index-53,retain unless separately classified,
ORIGIN-PAL-054,pallet,ParaInherent,Origin,present,54,parachains_paras_inherent,origin/base/runtime/src/lib.rs:index-54,retain unless separately classified,
ORIGIN-PAL-055,pallet,ParaScheduler,Origin,present,55,parachains_scheduler,origin/base/runtime/src/lib.rs:index-55,retain unless separately classified,
ORIGIN-PAL-056,pallet,Paras,Origin,present,56,parachains_paras,origin/base/runtime/src/lib.rs:index-56,retain unless separately classified,
ORIGIN-PAL-057,pallet,Initializer,Origin,present,57,parachains_initializer,origin/base/runtime/src/lib.rs:index-57,retain unless separately classified,
ORIGIN-PAL-058,pallet,Dmp,Origin,present,58,parachains_dmp,origin/base/runtime/src/lib.rs:index-58,retain unless separately classified,
ORIGIN-PAL-060,pallet,Hrmp,Origin,present,60,parachains_hrmp,origin/base/runtime/src/lib.rs:index-60,retain unless separately classified,
ORIGIN-PAL-061,pallet,ParaSessionInfo,Origin,present,61,parachains_session_info,origin/base/runtime/src/lib.rs:index-61,retain unless separately classified,
ORIGIN-PAL-062,pallet,ParasDisputes,Origin,present,62,parachains_disputes,origin/base/runtime/src/lib.rs:index-62,retain unless separately classified,
ORIGIN-PAL-063,pallet,ParasSlashing,Origin,present,63,parachains_slashing,origin/base/runtime/src/lib.rs:index-63,retain unless separately classified,
ORIGIN-PAL-064,pallet,OnDemandAssignmentProvider,Origin,present,64,parachains_on_demand,origin/base/runtime/src/lib.rs:index-64,retain unless separately classified,
ORIGIN-PAL-070,pallet,Registrar,Origin,present,70,paras_registrar,origin/base/runtime/src/lib.rs:index-70,retain unless separately classified,
ORIGIN-PAL-071,pallet,Slots,Origin,present,71,slots,origin/base/runtime/src/lib.rs:index-71,retain unless separately classified,
