family,repository,commit,literal_raw_path,class,tree_hash,scan_hash,spdx,license_path,license_sha256,security_disposition,legal_disposition,sdk_compatibility_disposition,maintenance_owner,phase,zero_code_graph_proof,cord_destination_path,external_repo_identity,external_head,external_status_sha256,external_modified
polkadot-sdk,https://github.com/paritytech/polkadot-sdk.git,513c79719426c66b1b02ea9d3dc746f90ac737b7,raw/blockchain/2023-12-05-substrate.md,reference-only,513c79719426c66b1b02ea9d3dc746f90ac737b7,0d133437f687dc93c34e679c04ffc013b40ebde2a68364917cb5459ccbbc2bae,not-applicable,not-present,not-present,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references substrate/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,not-present-raw-hash-only,not-present-raw-hash-only,not-present-raw-hash-only,0
polkadot-sdk,https://github.com/paritytech/polkadot-sdk.git,513c79719426c66b1b02ea9d3dc746f90ac737b7,raw/blockchain/2024-04-10-parity-bridges-common.md,reference-only,513c79719426c66b1b02ea9d3dc746f90ac737b7,694728fc80846dcac1e13e4de4827ca39c4a8dbc2e24026f78e6605fd4634fc1,not-applicable,not-present,not-present,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references bridges/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,not-present-raw-hash-only,not-present-raw-hash-only,not-present-raw-hash-only,0
polkadot-sdk,https://github.com/paritytech/polkadot-sdk.git,513c79719426c66b1b02ea9d3dc746f90ac737b7,raw/blockchain/2025-08-18-polkadot-sdk-release-process.md,reference-only,513c79719426c66b1b02ea9d3dc746f90ac737b7,41973d0ecee08f74b7142d9e551ed6805f40e81374136e19bdffd223b57a1a4d,not-applicable,not-present,not-present,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references docs/RELEASE.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,not-present-raw-hash-only,not-present-raw-hash-only,not-present-raw-hash-only,0
polkadot-sdk,https://github.com/paritytech/polkadot-sdk.git,513c79719426c66b1b02ea9d3dc746f90ac737b7,raw/blockchain/2025-08-27-cumulus.md,reference-only,513c79719426c66b1b02ea9d3dc746f90ac737b7,d8217cd6102c60df7fdadf6f86b1ba23ab505c907c78c9ee148926d4f382033f,not-applicable,not-present,not-present,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references cumulus/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,not-present-raw-hash-only,not-present-raw-hash-only,not-present-raw-hash-only,0
polkadot-sdk,https://github.com/paritytech/polkadot-sdk.git,513c79719426c66b1b02ea9d3dc746f90ac737b7,raw/blockchain/2025-12-03-polkadot-sdk.md,reference-only,513c79719426c66b1b02ea9d3dc746f90ac737b7,b48a50e2a26f3ed8ccf6e7183f2ec76879e24471bb6154b85e7494ba3e8d0e86,not-applicable,not-present,not-present,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,not-present-raw-hash-only,not-present-raw-hash-only,not-present-raw-hash-only,0
polkadot-sdk,https://github.com/paritytech/polkadot-sdk.git,513c79719426c66b1b02ea9d3dc746f90ac737b7,raw/blockchain/2026-03-17-polkadot-node.md,reference-only,513c79719426c66b1b02ea9d3dc746f90ac737b7,3f7c048c2efbed823765fed831b1f4ae053770706395d053bc6fbe16a7d3c98e,not-applicable,not-present,not-present,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references polkadot/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,not-present-raw-hash-only,not-present-raw-hash-only,not-present-raw-hash-only,0
polkadot-bulletin-chain,https://github.com/paritytech/polkadot-bulletin-chain.git,b6c2827d232669b525c0906cc20def0e5eb4676b,raw/blockchain/2026-07-08-bulletin-chain-architecture.md,reference-only,1c3e72f2e2a4d4d8bf50b2c03235cf8c1d9897c8,d9a492445c9e65176814890b8efb508761c10b85ed3d772ff129bb8578e07a0f,reference-only; repository license recorded,LICENSE,c61f12da7cdad526bdcbed47a4c0a603e60dbbfdaf8b66933cd088e9132c303f,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references docs/architecture.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/polkadot-bulletin-chain.git,b6c2827d232669b525c0906cc20def0e5eb4676b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
polkadot-bulletin-chain,https://github.com/paritytech/polkadot-bulletin-chain.git,b6c2827d232669b525c0906cc20def0e5eb4676b,raw/blockchain/2026-07-08-bulletin-chain-authorizations.md,reference-only,1c3e72f2e2a4d4d8bf50b2c03235cf8c1d9897c8,946ce92026ea0ebedc9781a017e5204868896dd2218fe833806ae975acd81e75,reference-only; repository license recorded,LICENSE,c61f12da7cdad526bdcbed47a4c0a603e60dbbfdaf8b66933cd088e9132c303f,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references docs/authorizations.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/polkadot-bulletin-chain.git,b6c2827d232669b525c0906cc20def0e5eb4676b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
polkadot-bulletin-chain,https://github.com/paritytech/polkadot-bulletin-chain.git,b6c2827d232669b525c0906cc20def0e5eb4676b,raw/blockchain/2026-07-08-bulletin-chain-sdk.md,reference-only,1c3e72f2e2a4d4d8bf50b2c03235cf8c1d9897c8,054cac27462d52ec6a573665f5d0073a8c67132bf1aa60413f81d9529ff2db00,reference-only; repository license recorded,LICENSE,c61f12da7cdad526bdcbed47a4c0a603e60dbbfdaf8b66933cd088e9132c303f,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references sdk/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/polkadot-bulletin-chain.git,b6c2827d232669b525c0906cc20def0e5eb4676b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
polkadot-bulletin-chain,https://github.com/paritytech/polkadot-bulletin-chain.git,b6c2827d232669b525c0906cc20def0e5eb4676b,raw/blockchain/2026-07-08-polkadot-bulletin-chain.md,reference-only,1c3e72f2e2a4d4d8bf50b2c03235cf8c1d9897c8,5ed5f3a51befb8329bb1b4ce960ae763428eac89bda76f275996ee1a152fa016,reference-only; repository license recorded,LICENSE,c61f12da7cdad526bdcbed47a4c0a603e60dbbfdaf8b66933cd088e9132c303f,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/polkadot-bulletin-chain.git,b6c2827d232669b525c0906cc20def0e5eb4676b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
